Date,rf
2002-08-31,0.0023420935088347417
2002-09-30,0.0025319417101319353
2002-10-31,0.002521404956965956
2002-11-30,0.0027270566215313874
2002-12-31,0.0025465290499016024
2003-01-31,0.00251248829116979
2003-02-28,0.0024735689916581816
2003-03-31,0.00243625572680517
2003-04-30,0.0025643548506695257
2003-05-31,0.0023039138595752906
2003-06-30,0.0024532919386484053
2003-07-31,0.0023867515181423826
2003-08-31,0.0024175933636538804
2003-09-30,0.002912877206978859
2003-10-31,0.002973389081773803
2003-11-30,0.0028103187594084034
2003-12-31,0.003076570018059499
2004-01-31,0.003080598154918013
2004-02-29,0.00323192712677578
2004-03-31,0.0032576602600797866
2004-04-30,0.0033476690945388743
2004-05-31,0.003366142063684574
2004-06-30,0.003713219489295261
2004-07-31,0.003789991195694453
2004-08-31,0.004035068102332007
2004-09-30,0.003906624499840028
2004-10-31,0.00390742284433343
2004-11-30,0.003877080842983327
2004-12-31,0.003701218073330903
2005-01-31,0.003792389271078278
2005-02-28,0.0038123707822479425
2005-03-31,0.0036035478805667154
2005-04-30,0.0034905363507502507
2005-05-31,0.003380596560800253
2005-06-30,0.00317239143204473
2005-07-31,0.002909648778641305
2005-08-31,0.002885431921520354
2005-09-30,0.002729482807901862
2005-10-31,0.0026072845141806855
2005-11-30,0.0027036001568403467
2005-12-31,0.002721395268866056
2006-01-31,0.002574886639868046
2006-02-28,0.002441934817957403
2006-03-31,0.002424085053891245
2006-04-30,0.0025027600243381354
2006-05-31,0.0025043814742582438
2006-06-30,0.002573266443816058
2006-07-31,0.002782034329272154
2006-08-31,0.002727865357496473
2006-09-30,0.002710880395284443
2006-10-31,0.002438689666349303
2006-11-30,0.0024816785497809857
2006-12-31,0.002498706273323714
2007-01-31,0.0025311312339049152
2007-02-28,0.002573266443816058
2007-03-31,0.002788500115602055
2007-04-30,0.0029846801851649563
2007-05-31,0.0035137912951068717
2007-06-30,0.0035025655103562148
2007-07-31,0.0035634888872855264
2007-08-31,0.003593134234243678
2007-09-30,0.003657999900783526
2007-10-31,0.003758010833853964
2007-11-30,0.0037556118548347506
2007-12-31,0.003586725245666944
2008-01-31,0.003498555966724881
2008-02-29,0.0033380295383023117
2008-03-31,0.0033942459274463044
2008-04-30,0.0033380295383023117
2008-05-31,0.0034151174796119843
2008-06-30,0.003635582416203764
2008-07-31,0.003744415785418509
2008-08-31,0.003480911880892723
2008-09-30,0.0030467562736788967
2008-10-31,0.0025230260752062694
2008-11-30,0.002709262614766672
2008-12-31,0.002262466772548377
2009-01-31,0.002514109568022116
2009-02-28,0.0025473393892132545
2009-03-31,0.0025959465680680527
2009-04-30,0.002612143202231909
2009-05-31,0.0025149201956327083
2009-06-30,0.002693083230250082
2009-07-31,0.0029112630070997625
2009-08-31,0.0029112630070997625
